subject,latitude,longitude
Inspectional Services,42.3115,-71.1104
Inspectional Services,42.3352,-71.0352
Parks & Recreation Department,42.2864,-71.0787
Public Works Department,42.2436,-71.1377
Transportation - Traffic Division,42.3190,-71.1073
Inspectional Services,42.2568,-71.1253
Transportation - Traffic Division,42.2808,-71.0967
Boston Police Department,42.3594,-71.0587
Inspectional Services,42.3140,-71.1004
Public Works Department,42.3521,-71.1514
Public Works Department,42.3594,-71.0587
Public Works Department,42.3530,-71.0774
Property Management,42.3441,-71.0647
Public Works Department,42.2850,-71.0866
Public Works Department,42.2503,-71.1405
Public Works Department,42.2773,-71.1325
Mayor's 24 Hour Hotline,42.3594,-71.0587
Mayor's 24 Hour Hotline,42.3594,-71.0587
Transportation - Traffic Division,42.2944,-71.0734
Public Works Department,42.3594,-71.0587
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.3189,-71.1109
Public Works Department,42.3500,-71.0586
Public Works Department,42.3269,-71.1083
Public Works Department,42.3307,-71.1118
Property Management,42.3329,-71.1111
Property Management,42.3329,-71.1111
Public Works Department,42.3262,-71.1021
Transportation - Traffic Division,42.3450,-71.1485
Public Works Department,42.3218,-71.1079
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3065,-71.1282
Public Works Department,42.3449,-71.0820
Property Management,42.3594,-71.0587
Transportation - Traffic Division,42.2961,-71.0682
Transportation - Traffic Division,42.2755,-71.0682
Public Works Department,42.3594,-71.0587
Property Management,42.3423,-71.0970
Public Works Department,42.2633,-71.1270
Public Works Department,42.2650,-71.1209
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.3536,-71.0783
Public Works Department,42.3801,-71.0633
Public Works Department,42.3368,-71.1514
Transportation - Traffic Division,42.2905,-71.0481
Boston Water & Sewer Commission,42.3594,-71.0587
Public Works Department,42.3000,-71.0660
Public Works Department,42.3148,-71.0828
Mayor's 24 Hour Hotline,42.3416,-71.0827
Mayor's 24 Hour Hotline,42.3379,-71.0795
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.2800,-71.0902
Parks & Recreation Department,42.3772,-71.0498
Public Works Department,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Parks & Recreation Department,42.3593,-71.0661
Animal Control,42.3458,-71.1447
Transportation - Traffic Division,42.3281,-71.1048
Public Works Department,42.2953,-71.0803
Public Works Department,42.3446,-71.0987
Public Works Department,42.2775,-71.0767
Transportation - Traffic Division,42.3809,-71.0287
Transportation - Traffic Division,42.2456,-71.1212
Transportation - Traffic Division,42.3610,-71.1389
Public Works Department,42.3385,-71.1557
Transportation - Traffic Division,42.3144,-71.0589
Inspectional Services,42.3357,-71.0836
Public Works Department,42.2710,-71.0739
Public Works Department,42.3903,-71.0106
Inspectional Services,42.3547,-71.0550
Parks & Recreation Department,42.3431,-71.0683
Public Works Department,42.2847,-71.1698
Public Works Department,42.3606,-71.0659
Public Works Department,42.3608,-71.0659
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.2959,-71.0572
Public Works Department,42.2976,-71.0603
Transportation - Traffic Division,42.3482,-71.0947
Public Works Department,42.2640,-71.1065
Transportation - Traffic Division,42.3594,-71.0587
Animal Control,42.3594,-71.0587
Transportation - Traffic Division,42.2700,-71.1043
Public Works Department,42.3592,-71.1259
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3188,-71.0569
Public Works Department,42.3594,-71.0587
Public Works Department,42.3772,-71.0579
Public Works Department,42.3439,-71.0818
Public Works Department,42.3659,-71.0313
Parks & Recreation Department,42.2992,-71.1085
Public Works Department,42.3678,-71.0547
Public Works Department,42.3594,-71.0587
Public Works Department,42.3438,-71.0689
Public Works Department,42.3664,-71.0359
Public Works Department,42.3807,-71.0582
Animal Control,42.2673,-71.0980
Public Works Department,42.2693,-71.1487
Public Works Department,42.2934,-71.1139
Public Works Department,42.3795,-71.0633
Public Works Department,42.3594,-71.0587
Parks & Recreation Department,42.3459,-71.0727
Public Works Department,42.2762,-71.1621
Public Works Department,42.3035,-71.0811
Public Works Department,42.2830,-71.0765
Public Works Department,42.3479,-71.1544
Public Works Department,42.3594,-71.0587
Property Management,42.3400,-71.0724
Public Works Department,42.3085,-71.1104
Property Management,42.3363,-71.0738
Public Works Department,42.3451,-71.0727
Public Works Department,42.3103,-71.0516
Public Works Department,42.2675,-71.1212
Transportation - Traffic Division,42.2890,-71.1296
Public Works Department,42.3429,-71.0697
Public Works Department,42.3473,-71.0704
Public Works Department,42.3026,-71.1153
Public Works Department,42.3109,-71.0597
Public Works Department,42.3594,-71.0587
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.2918,-71.1222
Transportation - Traffic Division,42.3594,-71.0587
Transportation - Traffic Division,42.3899,-71.0104
Public Works Department,42.3655,-71.0537
Inspectional Services,42.3354,-71.0777
Public Works Department,42.3594,-71.0587
Animal Control,42.3515,-71.1728
Public Works Department,42.3664,-71.0359
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.2739,-71.1641
Transportation - Traffic Division,42.3362,-71.0310
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Inspectional Services,42.3578,-71.1486
Public Works Department,42.3362,-71.0751
Public Works Department,42.2870,-71.0543
Boston Police Department,42.3669,-71.0407
Boston Police Department,42.3516,-71.1404
Public Works Department,42.3429,-71.0697
Public Works Department,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Public Works Department,42.3649,-71.0568
Public Works Department,42.3511,-71.0611
Public Works Department,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Public Works Department,42.3372,-71.0362
Public Works Department,42.3594,-71.0587
Public Works Department,42.2722,-71.1177
Public Works Department,42.3594,-71.0587
Public Works Department,42.3505,-71.1469
Property Management,42.3661,-71.0518
Public Works Department,42.2840,-71.0972
