date,negative,positive
3/7/21,4404792,591356
3/6/21,4396764,589931
3/5/21,4388938,588209
3/4/21,4380031,586310
3/3/21,4371477,584743
3/2/21,4362966,582844
3/1/21,4355357,582543
2/28/21,4348539,581148
2/27/21,4340080,579680
2/26/21,4331641,577980
2/25/21,4322172,575993
2/24/21,4311159,573885
2/23/21,4299958,571783
2/22/21,4292030,570546
2/21/21,4284944,569284
2/20/21,4276228,567764
2/19/21,4267078,565794
2/18/21,4258278,563976
2/17/21,4249632,561936
2/16/21,4242966,560576
2/15/21,4237896,559350
2/14/21,4229308,557777
2/13/21,4219058,555895
2/12/21,4208973,553812
2/11/21,4198141,551396
2/10/21,4187507,548946
2/9/21,4178170,546896
2/8/21,4172254,545303
2/7/21,4166477,543934
2/6/21,4154113,540827
2/5/21,4142263,537208
2/4/21,4129655,533921
2/3/21,4120902,531117
2/2/21,4111673,528662
2/1/21,4103409,526423
1/31/21,4092188,524025
1/30/21,4080300,521360
1/29/21,4063855,517252
1/28/21,4052150,514134
1/27/21,4036752,509503
1/26/21,4024375,506183
1/25/21,4015048,503688
1/24/21,4002160,500037
1/23/21,3988109,496093
1/22/21,3973073,491452
1/21/21,3956227,486180
1/20/21,3940163,481040
1/19/21,3927237,476526
1/18/21,3916329,473441
1/17/21,3905525,470140
1/16/21,3890048,465726
1/15/21,3870651,459927
1/14/21,3854115,454402
1/13/21,3837617,448447
1/12/21,3822100,442529
1/11/21,3808039,437042
1/10/21,3795377,432791
1/9/21,3780520,427135
1/8/21,3762340,419721
1/7/21,3743466,411601
1/6/21,3725378,404053
1/5/21,3710339,397202
1/4/21,3698749,392568
1/3/21,3687911,387662
1/2/21,3679369,384181
1/1/21,3658165,375178
12/31/20,3658165,375178
12/30/20,3640768,367918
12/29/20,3625653,361079
12/28/20,3614660,356934
12/27/20,3603728,352736
12/26/20,3595082,349602
12/25/20,3572264,341925
12/24/20,3572264,341925
12/23/20,3548835,335988
12/22/20,3530284,331174
12/21/20,3515535,327374
12/20/20,3500246,323531
12/19/20,3483491,319270
12/18/20,3470184,314926
12/17/20,3443888,309247
12/16/20,3424767,304112
12/15/20,3401993,298160
12/14/20,3386378,294231
12/13/20,3372774,290578
12/12/20,3355023,285725
12/11/20,3336332,280436
12/10/20,3315387,274781
12/9/20,3297033,269412
12/8/20,3276717,263447
12/7/20,3261771,259325
12/6/20,3250728,256844
12/5/20,3230907,252017
12/4/20,3207957,246398
12/3/20,3186939,240907
12/2/20,3161191,234232
12/1/20,3142496,229205
11/30/20,3127214,226132
11/29/20,3120723,224964
11/28/20,3104965,222469
11/27/20,3089928,219252
11/26/20,3060815,214594
11/25/20,3060815,214594
11/24/20,3034374,211199
11/23/20,3013965,208623
11/22/20,3000205,206850
11/21/20,2977016,204155
11/20/20,2947448,200949
11/19/20,2924858,198550
11/18/20,2905440,195868
11/17/20,2885122,192964
11/16/20,2869642,190439
11/15/20,2854649,188275
11/14/20,2838585,186142
11/13/20,2813634,183095
11/12/20,2794422,180189
11/11/20,2775173,177541
11/10/20,2757216,174881
11/9/20,2743519,172727
11/8/20,2730521,171399
11/7/20,2712191,169576
11/6/20,2690585,167274
11/5/20,2671933,165161
11/4/20,2649240,163299
11/3/20,2628852,161585
11/2/20,2615698,160549
11/1/20,2602387,159707
10/31/20,2586802,158576
10/30/20,2569972,157146
10/29/20,2551212,155564
10/28/20,2534122,154218
10/27/20,2516614,153037
10/26/20,2503912,151777
10/25/20,2485042,150565
10/24/20,2469119,149488
10/23/20,2451079,148285
10/22/20,2436286,147215
10/21/20,2419306,146166
10/20/20,2407230,145464
10/19/20,2390813,144488
10/18/20,2373986,143660
10/17/20,2359142,142930
10/16/20,2347297,142346
10/15/20,2333037,141579
10/14/20,2318868,140992
10/13/20,2306329,140412
10/12/20,2293217,139663
10/11/20,2275181,138903
10/10/20,2259954,138340
10/9/20,2245381,137701
10/8/20,2226548,136936
10/7/20,2212922,136492
10/6/20,2197297,135957
10/5/20,2184966,135462
10/4/20,2174166,134947
10/3/20,2155811,134303
10/2/20,2142598,133631
10/1/20,2121900,132870
9/30/20,2104449,132116
9/29/20,2090555,131584
9/28/20,2076881,131072
9/27/20,2064199,130642
9/26/20,2046728,130050
9/25/20,2032933,129481
9/24/20,2017533,128993
9/23/20,1999432,128512
9/22/20,1979312,127969
9/21/20,1970320,127796
9/20/20,1959741,127540
9/19/20,1942682,127181
9/18/20,1921953,126582
9/17/20,1900167,126128
9/16/20,1872942,125699
9/15/20,1856605,125393
9/14/20,1845095,125080
9/13/20,1833129,124826
9/12/20,1821294,124540
9/11/20,1803416,123986
9/10/20,1784453,123546
9/9/20,1766927,123143
9/8/20,1755759,122962
9/7/20,1746488,122791
9/6/20,1736840,122562
9/5/20,1719479,122196
