date,death,hospitalized
3/7/21,16417,19713
3/6/21,16374,19713
3/5/21,16322,19713
3/4/21,16296,19713
3/3/21,16252,19713
3/2/21,16182,19444
3/1/21,16144,19444
2/28/21,16118,19444
2/27/21,16067,19444
2/26/21,16024,19444
2/25/21,15978,19444
2/24/21,15945,19444
2/23/21,15883,19176
2/22/21,15853,19176
2/21/21,15826,19176
2/20/21,15779,19176
2/19/21,15726,19176
2/18/21,15686,19176
2/17/21,15623,19176
2/16/21,15567,18859
2/15/21,15517,18859
2/14/21,15484,18859
2/13/21,15424,18859
2/12/21,15358,18859
2/11/21,15269,18859
2/10/21,15207,18859
2/9/21,15124,18402
2/8/21,15054,18402
2/7/21,14999,18402
2/6/21,14921,18402
2/5/21,14859,18402
2/4/21,14784,18402
2/3/21,14708,18402
2/2/21,14652,18008
2/1/21,14607,18008
1/31/21,14577,18008
1/30/21,14531,18008
1/29/21,14444,18008
1/28/21,14348,18008
1/27/21,14304,18008
1/26/21,14220,17556
1/25/21,14178,17556
1/24/21,14133,17556
1/23/21,14064,17556
1/22/21,13987,17556
1/21/21,13906,17556
1/20/21,13829,17556
1/19/21,13749,17109
1/18/21,13705,17109
1/17/21,13652,17109
1/16/21,13583,17109
1/15/21,13509,17109
1/14/21,13433,17109
1/13/21,13359,17109
1/12/21,13273,16603
1/11/21,13206,16603
1/10/21,13151,16603
1/9/21,13074,16603
1/8/21,12985,16603
1/7/21,12909,16603
1/6/21,12836,16098
1/5/21,12734,16098
1/4/21,12671,16098
1/3/21,12610,16098
1/2/21,12502,16098
1/1/21,12423,16098
12/31/20,12423,16098
12/30/20,12338,15905
12/29/20,12218,15905
12/28/20,12158,15905
12/27/20,12110,15905
12/26/20,12010,15905
12/25/20,11963,15905
12/24/20,11963,15905
12/23/20,11887,15372
12/22/20,11804,15372
12/21/20,11759,15372
12/20/20,11717,15372
12/19/20,11657,15372
12/18/20,11610,15372
12/17/20,11558,15372
12/16/20,11513,14823
12/15/20,11443,14823
12/14/20,11388,14823
12/13/20,11349,14823
12/12/20,11307,14823
12/11/20,11257,14823
12/10/20,11209,14823
12/9/20,11166,14397
12/8/20,11076,14397
12/7/20,11035,14397
12/6/20,11004,14397
12/5/20,10953,14397
12/4/20,10910,14397
12/3/20,10874,14397
12/2/20,10824,14139
12/1/20,10778,14139
11/30/20,10748,14139
11/29/20,10722,14139
11/28/20,10676,14139
11/27/20,10635,14139
11/26/20,10604,13817
11/25/20,10604,13817
11/24/20,10551,13817
11/23/20,10531,13817
11/22/20,10512,13817
11/21/20,10488,13817
11/20/20,10469,13817
11/19/20,10435,13817
11/18/20,10407,13588
11/17/20,10360,13588
11/16/20,10340,13588
11/15/20,10329,13588
11/14/20,10293,13588
11/13/20,10265,13588
11/12/20,10242,13588
11/11/20,10222,13373
11/10/20,10184,13373
11/9/20,10163,13373
11/8/20,10149,13373
11/7/20,10129,13373
11/6/20,10106,13373
11/5/20,10085,13373
11/4/20,10062,13299
11/3/20,10035,13299
11/2/20,10023,13299
11/1/20,10013,13299
10/31/20,9991,13286
10/30/20,9975,13253
10/29/20,9951,13235
10/28/20,9924,13213
10/27/20,9888,13160
10/26/20,9881,13160
10/25/20,9864,13142
10/24/20,9839,13126
10/23/20,9830,13106
10/22/20,9810,13082
10/21/20,9780,13056
10/20/20,9758,13021
10/19/20,9753,13009
10/18/20,9737,13001
10/17/20,9723,12990
10/16/20,9702,12971
10/15/20,9672,12946
10/14/20,9647,12933
10/13/20,9630,12899
10/12/20,9617,12882
10/11/20,9604,12871
10/10/20,9587,12861
10/9/20,9577,12846
10/8/20,9565,12830
10/7/20,9557,12807
10/6/20,9538,12775
10/5/20,9530,12755
10/4/20,9510,12749
10/3/20,9507,12745
10/2/20,9490,12733
10/1/20,9480,12715
9/30/20,9456,12686
9/29/20,9423,12667
9/28/20,9415,12648
9/27/20,9404,12645
9/26/20,9391,12637
9/25/20,9373,12619
9/24/20,9362,12606
9/23/20,9347,12592
9/22/20,9328,12571
9/21/20,9317,12553
9/20/20,9310,12545
9/19/20,9295,12537
9/18/20,9269,12514
9/17/20,9260,12496
9/16/20,9245,12478
9/15/20,9225,12462
9/14/20,9219,12442
9/13/20,9210,12431
9/12/20,9196,12426
9/11/20,9180,12411
9/10/20,9166,12401
9/9/20,9146,12387
9/8/20,9141,12368
9/7/20,9133,12357
9/6/20,9125,12350
9/5/20,9116,12347
9/4/20,9100,12335
9/3/20,9077,12325
9/2/20,9060,12295
9/1/20,9064,12386
8/31/20,9060,12364
8/30/20,9049,12361
8/29/20,9036,12358
8/28/20,9023,12334
8/27/20,9007,12318
8/26/20,8987,12299
8/25/20,8960,12279
8/24/20,8948,12268
8/23/20,8921,12256
8/22/20,8921,12256
8/21/20,8901,12245
8/20/20,8888,12225
8/19/20,8876,12213
8/18/20,8839,12192
8/17/20,8833,12178
8/16/20,8829,12173
8/15/20,8818,12170
8/14/20,8804,12150
8/13/20,8790,12131
8/12/20,8769,12109
8/11/20,8751,12089
8/10/20,8741,12062
8/9/20,8735,12054
8/8/20,8721,12044
8/7/20,8709,12022
8/6/20,8691,12007
8/5/20,8659,11993
8/4/20,8657,11973
8/3/20,8648,11942
8/2/20,8638,11936
8/1/20,8626,11930
7/31/20,8609,11908
7/30/20,8595,11893
7/29/20,8580,11876
7/28/20,8551,11855
7/27/20,8536,11833
7/26/20,8529,11828
7/25/20,8510,11813
7/24/20,8498,11785
7/23/20,8484,11770
7/22/20,8468,11761
7/21/20,8450,11746
7/20/20,8433,11722
7/19/20,8431,11717
7/18/20,8419,11709
7/17/20,8402,11691
7/16/20,8380,11663
7/15/20,8368,11651
7/14/20,8340,11625
7/13/20,8330,11611
7/12/20,8325,11608
7/11/20,8310,11600
7/10/20,8296,11582
7/9/20,8268,11559
7/8/20,8243,11517
7/7/20,8213,11489
7/6/20,8198,11469
7/5/20,8183,11463
7/4/20,8172,11461
7/3/20,8149,11436
7/2/20,8132,11392
7/1/20,8081,11352
6/30/20,8054,11337
6/29/20,8095,11345
6/28/20,8060,11319
6/27/20,8041,11310
6/26/20,8013,11291
6/25/20,7963,11252
6/24/20,7938,11219
6/23/20,7890,11157
6/22/20,7874,11094
6/21/20,7858,11085
6/20/20,7828,11076
6/19/20,7800,11036
6/18/20,7770,10985
6/17/20,7734,10925
6/16/20,7665,10867
6/15/20,7647,10817
6/14/20,7624,10802
6/13/20,7576,10772
6/12/20,7538,10726
6/11/20,7492,10654
6/10/20,7454,10582
6/9/20,7408,10507
6/8/20,7353,10425
6/7/20,7316,10393
6/6/20,7289,10369
6/5/20,7235,10303
6/4/20,7201,10238
6/3/20,7152,10151
6/2/20,7085,10063
6/1/20,7035,9952
5/31/20,6846,9823
5/30/20,6768,9789
5/29/20,6718,9725
5/28/20,6640,9618
5/27/20,6547,9492
5/26/20,6473,9388
5/25/20,6416,9339
5/24/20,6372,9308
5/23/20,6304,9260
5/22/20,6228,9162
5/21/20,6148,9040
5/20/20,6066,8897
5/19/20,5938,8766
5/18/20,5862,8621
5/17/20,5797,8539
5/16/20,5705,8456
5/15/20,5592,8314
5/14/20,5482,8207
5/13/20,5315,8032
5/12/20,5141,7842
5/11/20,5108,7732
5/10/20,4979,7617
5/9/20,4840,7551
5/8/20,4702,7434
5/7/20,4552,7237
5/6/20,4420,7080
5/5/20,4212,6831
5/4/20,4090,6622
5/3/20,4004,6507
5/2/20,3846,6378
5/1/20,3716,6169
4/30/20,3562,5942
4/29/20,3405,5758
4/28/20,3153,5515
4/27/20,3003,5237
4/26/20,2899,5104
4/25/20,2877,4965
4/24/20,2877,4752
4/23/20,2769,4493
4/22/20,2597,4256
4/21/20,2449,4009
4/20/20,2303,3872
4/19/20,2146,3789
4/18/20,1983,3728
4/17/20,1822,3756
4/16/20,1667,3726
4/15/20,1502,3637
4/14/20,1329,3616
4/13/20,1211,3485
4/12/20,1056,2514
4/11/20,946,2507
4/10/20,832,2435
4/9/20,725,2302
4/8/20,615,2119
4/7/20,515,1831
4/6/20,448,1667
4/5/20,370,1632
4/4/20,304,1370
4/3/20,265,966
4/2/20,229,813
4/1/20,187,682
3/31/20,153,562
3/30/20,124,453
3/29/20,99,399
3/28/20,72,350
3/27/20,57,219
3/26/20,42,219
3/25/20,33,103
3/24/20,26,94
3/23/20,17,79
3/22/20,11,71
3/21/20,7,61
