date,state,death,hospitalized,negative,positive,recovered,total Antibody
3/7/21,MA,16417,19713,4404792,591356,508745,156185
3/6/21,MA,16374,19713,4396764,589931,508745,156185
3/5/21,MA,16322,19713,4388938,588209,508745,156185
3/4/21,MA,16296,19713,4380031,586310,508745,156185
3/3/21,MA,16252,19713,4371477,584743,494740,154697
3/2/21,MA,16182,19444,4362966,582844,494740,154697
3/1/21,MA,16144,19444,4355357,582543,494740,154697
2/28/21,MA,16118,19444,4348539,581148,494740,154697
2/27/21,MA,16067,19444,4340080,579680,494740,154697
2/26/21,MA,16024,19444,4331641,577980,494740,154697
2/25/21,MA,15978,19444,4322172,575993,494740,154697
2/24/21,MA,15945,19444,4311159,573885,477796,153152
2/23/21,MA,15883,19176,4299958,571783,477796,153152
2/22/21,MA,15853,19176,4292030,570546,477796,153152
2/21/21,MA,15826,19176,4284944,569284,477796,153152
2/20/21,MA,15779,19176,4276228,567764,477796,153152
2/19/21,MA,15726,19176,4267078,565794,477796,153152
2/18/21,MA,15686,19176,4258278,563976,477796,153152
2/17/21,MA,15623,19176,4249632,561936,453740,151476
2/16/21,MA,15567,18859,4242966,560576,453740,151476
2/15/21,MA,15517,18859,4237896,559350,453740,151476
2/14/21,MA,15484,18859,4229308,557777,453740,151476
2/13/21,MA,15424,18859,4219058,555895,453740,151476
2/12/21,MA,15358,18859,4208973,553812,453740,151476
2/11/21,MA,15269,18859,4198141,551396,453740,151476
2/10/21,MA,15207,18859,4187507,548946,425717,149467
2/9/21,MA,15124,18402,4178170,546896,425717,149467
2/8/21,MA,15054,18402,4172254,545303,425717,149467
2/7/21,MA,14999,18402,4166477,543934,425717,149467
2/6/21,MA,14921,18402,4154113,540827,425717,149467
2/5/21,MA,14859,18402,4142263,537208,425717,149467
2/4/21,MA,14784,18402,4129655,533921,425717,149467
2/3/21,MA,14708,18402,4120902,531117,389717,147875
2/2/21,MA,14652,18008,4111673,528662,389717,147875
2/1/21,MA,14607,18008,4103409,526423,389717,147875
1/31/21,MA,14577,18008,4092188,524025,389717,147875
1/30/21,MA,14531,18008,4080300,521360,389717,147875
1/29/21,MA,14444,18008,4063855,517252,389717,147875
1/28/21,MA,14348,18008,4052150,514134,389717,147875
1/27/21,MA,14304,18008,4036752,509503,354388,145958
1/26/21,MA,14220,17556,4024375,506183,354388,145958
1/25/21,MA,14178,17556,4015048,503688,354388,145958
1/24/21,MA,14133,17556,4002160,500037,354388,145958
1/23/21,MA,14064,17556,3988109,496093,354388,145958
1/22/21,MA,13987,17556,3973073,491452,354388,145958
1/21/21,MA,13906,17556,3956227,486180,324203,143396
1/20/21,MA,13829,17556,3940163,481040,324203,143396
1/19/21,MA,13749,17109,3927237,476526,324203,143396
1/18/21,MA,13705,17109,3916329,473441,324203,143396
1/17/21,MA,13652,17109,3905525,470140,324203,143396
1/16/21,MA,13583,17109,3890048,465726,324203,143396
1/15/21,MA,13509,17109,3870651,459927,324203,143396
1/14/21,MA,13433,17109,3854115,454402,324203,143396
1/13/21,MA,13359,17109,3837617,448447,293522,141687
1/12/21,MA,13273,16603,3822100,442529,293522,141687
1/11/21,MA,13206,16603,3808039,437042,293522,141687
1/10/21,MA,13151,16603,3795377,432791,293522,141687
1/9/21,MA,13074,16603,3780520,427135,293522,141687
1/8/21,MA,12985,16603,3762340,419721,293522,141687
1/7/21,MA,12909,16603,3743466,411601,293522,141687
